augmentation_id,source_instruction_id,group_id,instruction,is_original,primary_mode,secondary_mode,confidence,review_status,split,episode_count,step_count,sample_weight,notes
38,2,maniskill_task_2,locate the designated item among the objects and pick it up.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
39,2,maniskill_task_2,choose the specified object from the clutter and grasp it.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
40,2,maniskill_task_2,lift the indicated object from the crowded set of items.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
41,2,maniskill_task_2,retrieve the designated object from among the surrounding objects.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
42,2,maniskill_task_2,grasp only the specified item from the cluttered group.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
43,2,maniskill_task_2,pick out and lift the designated object.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
44,2,maniskill_task_2,"from the clutter, select the indicated object and pick it up.",FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
45,2,maniskill_task_2,find the requested item in the group and grasp it.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
46,2,maniskill_task_2,identify the target object among the clutter and lift it.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
47,2,maniskill_task_2,take hold of the designated object from the collection.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
48,2,maniskill_task_2,pick up the particular object indicated within the clutter.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
49,2,maniskill_task_2,locate and grasp the specified item among the other objects.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
50,2,maniskill_task_2,select the target item from the cluttered objects and lift it.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
51,2,maniskill_task_2,retrieve the indicated object without picking the surrounding items.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
52,2,maniskill_task_2,pick the designated item from the assortment of objects.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
53,2,maniskill_task_2,search the clutter for the specified object and grasp it.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
54,2,maniskill_task_2,lift the requested object from the group of items.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
55,2,maniskill_task_2,choose and pick up the designated object among the clutter.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
56,2,maniskill_task_2,find the indicated object in the assortment and lift it.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
57,2,maniskill_task_2,grasp the requested item from the cluttered collection.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
58,2,maniskill_task_2,identify the designated object and pick it out of the group.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
59,2,maniskill_task_2,pick up the target object from among the other objects.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
60,2,maniskill_task_2,locate the specified item in the clutter and take hold of it.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
61,3,maniskill_task_3,turn on the faucet by rotating a designated handle.,TRUE,default,,source_label,source,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
62,3,maniskill_task_3,rotate the designated handle to turn on the faucet.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
63,3,maniskill_task_3,turn the specified faucet handle until the faucet is on.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
64,3,maniskill_task_3,activate the faucet by rotating the indicated handle.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
65,3,maniskill_task_3,use the designated handle to switch the faucet on.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
66,3,maniskill_task_3,grasp and rotate the specified handle to turn on the faucet.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
67,3,maniskill_task_3,turn on the water by rotating the designated faucet handle.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
68,3,maniskill_task_3,rotate the indicated handle so that the faucet turns on.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
69,3,maniskill_task_3,operate the designated handle to activate the faucet.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
70,3,maniskill_task_3,switch on the faucet using the specified rotating handle.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
71,3,maniskill_task_3,twist the designated faucet handle to the on position.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
72,3,maniskill_task_3,turn the indicated handle to activate the water flow.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
73,3,maniskill_task_3,rotate the selected handle and turn the faucet on.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
74,3,maniskill_task_3,use the indicated faucet handle to start the water.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
75,3,maniskill_task_3,activate the water flow by turning the designated handle.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
76,3,maniskill_task_3,grasp the specified handle and rotate it to switch on the faucet.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
77,3,maniskill_task_3,move the designated faucet handle by rotation until it is on.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
78,3,maniskill_task_3,turn the chosen handle to start the faucet.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
79,3,maniskill_task_3,rotate the requested handle to open the faucet.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
80,3,maniskill_task_3,switch the faucet on by turning the indicated handle.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
81,3,maniskill_task_3,twist the specified handle until water is turned on.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
82,3,maniskill_task_3,operate the faucet by rotating its designated handle to on.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
83,3,maniskill_task_3,turn the designated control handle to activate the faucet.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
84,3,maniskill_task_3,rotate the correct faucet handle to start the water flow.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
85,3,maniskill_task_3,use the specified handle and turn it until the faucet activates.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
86,3,maniskill_task_3,start the faucet by rotating the designated handle.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
87,3,maniskill_task_3,turn the indicated faucet control into the on position.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
88,3,maniskill_task_3,rotate the designated control to switch on the water.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
89,3,maniskill_task_3,activate the faucet using the indicated rotating handle.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
90,3,maniskill_task_3,grip and turn the specified handle so the faucet comes on.,FALSE,default,,inherited,assistant_reviewed,train,773,"141,707",2.500,Turn on a faucet by rotating its designated handle; label inherited from source task.
91,4,maniskill_task_4,insert a designated object into the corresponding slot on a board.,TRUE,navigation,,source_label,source,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
92,4,maniskill_task_4,place the designated object into its matching slot on the board.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
93,4,maniskill_task_4,insert the specified item into the corresponding board slot.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
94,4,maniskill_task_4,fit the designated object into the slot that matches it on the board.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
95,4,maniskill_task_4,put the indicated object into its corresponding slot in the board.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
96,4,maniskill_task_4,align the specified object with its matching slot and insert it.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
97,4,maniskill_task_4,place the selected object inside the appropriate slot on the board.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
98,4,maniskill_task_4,insert the indicated item into the board opening that corresponds to it.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
99,4,maniskill_task_4,fit the specified object into its designated board slot.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
100,4,maniskill_task_4,match the object to its slot on the board and insert it.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
101,4,maniskill_task_4,put the designated piece into the matching opening on the board.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
102,4,maniskill_task_4,guide the specified object into its corresponding board slot.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
103,4,maniskill_task_4,insert the selected piece into the appropriate slot in the board.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
104,4,maniskill_task_4,place the indicated item into the board slot assigned to it.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
105,4,maniskill_task_4,fit the designated piece inside its matching board opening.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
106,4,maniskill_task_4,align and insert the requested object into the corresponding slot.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
107,4,maniskill_task_4,move the specified object into its matching slot on the board.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
108,4,maniskill_task_4,put the selected item in the correct corresponding board slot.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
109,4,maniskill_task_4,insert the designated shape into the slot that matches it.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
110,4,maniskill_task_4,place the requested object into its proper opening on the board.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
111,4,maniskill_task_4,guide the indicated piece into the corresponding board opening.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
112,4,maniskill_task_4,fit the selected object into the correct slot on the board.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
113,4,maniskill_task_4,insert the requested item into its matching board position.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
114,4,maniskill_task_4,place the designated piece securely in its corresponding slot.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
115,4,maniskill_task_4,align the indicated object to the right board slot and insert it.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
116,4,maniskill_task_4,move the selected piece into the board opening made for it.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
117,4,maniskill_task_4,put the specified shape into its corresponding slot on the board.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
118,4,maniskill_task_4,insert the indicated object into the correct matching opening.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
119,4,maniskill_task_4,fit the requested piece into its assigned slot in the board.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
120,4,maniskill_task_4,place the specified object within the corresponding board slot.,FALSE,navigation,,inherited,assistant_reviewed,train,276,"42,777",0.357,Insert a designated object into its corresponding board slot; label inherited from source task.
121,5,maniskill_task_5,plug the charger into the wall socket.,TRUE,navigation,,source_label,source,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
122,5,maniskill_task_5,insert the charger plug into the wall socket.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
123,5,maniskill_task_5,connect the charger to the wall outlet.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
124,5,maniskill_task_5,plug the charger into the electrical outlet on the wall.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
125,5,maniskill_task_5,place the charger plug into the wall receptacle.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
126,5,maniskill_task_5,insert the charger's plug into the socket.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
127,5,maniskill_task_5,connect the charger by plugging it into the wall outlet.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
128,5,maniskill_task_5,fit the charger plug into the wall socket.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
129,5,maniskill_task_5,put the charger connector into the wall outlet.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
130,5,maniskill_task_5,plug the charging adapter into the wall socket.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
131,5,maniskill_task_5,align the charger plug with the wall outlet and insert it.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
132,5,maniskill_task_5,insert the charging plug into the electrical socket.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
133,5,maniskill_task_5,connect the charging cable to the wall socket using its plug.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
134,5,maniskill_task_5,place the charger into the available wall outlet.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
135,5,maniskill_task_5,push the charger plug into the wall receptacle.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
136,5,maniskill_task_5,attach the charger to power by plugging it into the wall socket.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
137,5,maniskill_task_5,insert the charger connector into the electrical outlet.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
138,5,maniskill_task_5,plug the power adapter into the socket on the wall.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
139,5,maniskill_task_5,connect the charger plug securely to the wall outlet.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
140,5,maniskill_task_5,guide the charger plug into the wall socket.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
141,5,maniskill_task_5,put the charging adapter's plug into the outlet.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
142,5,maniskill_task_5,fit the charging plug into the electrical wall socket.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
143,5,maniskill_task_5,insert the charger into the wall outlet to connect it.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
144,5,maniskill_task_5,plug the charger connector into the socket.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
145,5,maniskill_task_5,place the charger plug inside the wall outlet.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
146,5,maniskill_task_5,connect the charger to the electrical socket.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
147,5,maniskill_task_5,align and insert the charging adapter into the wall receptacle.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
148,5,maniskill_task_5,push the charger connector into the wall outlet.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
149,5,maniskill_task_5,plug the power charger into the electrical wall socket.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
150,5,maniskill_task_5,insert the charging adapter's plug into the socket on the wall.,FALSE,navigation,,inherited,assistant_reviewed,train,186,"30,023",0.357,Plug a charger into a wall socket; label inherited from source task.
151,6,maniskill_task_6,stack the red cube on top of the green cube.,TRUE,navigation,,source_label,source,train,178,"26,009",0.357,Stack the red cube directly on the green cube; label inherited from source task.
152,6,maniskill_task_6,place the red cube on top of the green cube.,FALSE,navigation,,inherited,assistant_reviewed,train,178,"26,009",0.357,Stack the red cube directly on the green cube; label inherited from source task.
153,6,maniskill_task_6,put the red cube above and directly onto the green cube.,FALSE,navigation,,inherited,assistant_reviewed,train,178,"26,009",0.357,Stack the red cube directly on the green cube; label inherited from source task.
154,6,maniskill_task_6,set the red cube on the upper surface of the green cube.,FALSE,navigation,,inherited,assistant_reviewed,train,178,"26,009",0.357,Stack the red cube directly on the green cube; label inherited from source task.
